node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,midYear,startUTLA,endUTLA,startRegion,endRegion,geoDist_km
24813,24814,0.0367772,181653.541570873,538078.746907969,184286.779093524,549368.251847555,0.20292344,0.16614624,2020.8466164763,2020.8833936763,2020.8650050763,359,364,Greater_London,Greater_London,11.5717417972315
30134,30135,0.00487441999999999,171186.265126298,538979.13969024,172219.309011834,372536.787371473,0.202940211,0.198065791,2020.8785360273,2020.8834104473,2020.8809732373,345,99,Greater_London,NA,166.161823497022
28112,28113,0.0200452,194454.017368827,537639.25009752,207636.77537314,519255.034486623,0.20295459,0.18290939,2020.8633796263,2020.8834248263,2020.8734022263,349,183,Greater_London,NA,22.6015148834541
25926,25928,0.0196665,164771.26415121,556871.59283828,161746.145935982,562996.983322598,0.203011741,0.183345241,2020.8638154773,2020.8834819773,2020.8736487273,189,189,Kent,Kent,6.82234465351195
35408,35409,0.0235462,266764.146304492,548717.525295648,267867.432077642,543741.759838394,0.20303721,0.17949101,2020.8599612463,2020.8835074463,2020.8717343463,149,149,NA,NA,5.08745228624632
30249,30250,0.00656920999999999,184748.187105799,539701.853749344,185385.243944634,538585.392866388,0.203055409,0.196486199,2020.8769564353,2020.8835256453,2020.8802410403,363,363,Greater_London,Greater_London,1.28391087326798
29246,29247,0.012758,186065.552697232,552262.064920025,203099.674820157,534102.490646558,0.2030654584,0.1903074584,2020.8707776947,2020.8835356947,2020.8771566947,338,180,Greater_London,NA,24.883121606591
33511,33512,0.0149482,186280.232500156,537665.795018757,185650.337552799,539286.867591231,0.20307719,0.18812899,2020.8685992263,2020.8835474263,2020.8760733263,349,349,Greater_London,Greater_London,1.73655918603611
33528,33529,0.00888828,166703.815282872,530712.545209454,161881.855074139,553418.473236509,0.20308718,0.1941989,2020.8746691363,2020.8835574163,2020.8791132763,334,189,Greater_London,Kent,23.1719576618849
19041,19042,0.0306213,169868.041877708,577037.95683948,172317.497286289,577110.849482394,0.20311352,0.17249222,2020.8529624563,2020.8835837563,2020.8682731063,46,46,Kent,Kent,2.45197099363396
33778,33779,0.018971,149085.024595831,640763.531240164,162199.452103612,632127.908468266,0.203185135,0.184214135,2020.8646843713,2020.8836553713,2020.8741698713,NA,295,NA,Kent,15.6965533993385
32468,32469,0.0107217,233520.05906505,486250.677349293,234297.294659484,486861.537839874,0.203208381,0.192486681,2020.8729569173,2020.8836786173,2020.8783177673,42,42,NA,NA,0.988331383772263
28750,28757,0.0344152,185577.49798514,547133.789889107,183956.404911411,544821.822366037,0.2032100454,0.1687948454,2020.8492650817,2020.8836802817,2020.8664726817,364,364,Greater_London,Greater_London,2.82051894778159
26051,26052,0.00549364999999999,145039.672494907,569662.807492599,115794.675348094,568734.291938057,0.20321617,0.19772252,2020.8781927563,2020.8836864063,2020.8809395813,188,278,Kent,NA,29.2796246037898
31790,31814,0.0137498,181349.690700258,547777.024652839,185813.858170903,546137.355642313,0.203220792,0.189470992,2020.8699412283,2020.8836910283,2020.8768161283,347,350,Greater_London,Greater_London,4.7578196815333
25028,25047,0.00330357000000001,176618.500939796,479277.834801651,177219.560629146,479347.655714443,0.20323171,0.19992814,2020.8803983763,2020.8837019463,2020.8820501613,116,116,NA,NA,0.605612892505013
25196,25197,0.00461745,169981.167297911,581132.880326277,170837.693577801,581184.609464677,0.2032512493,0.1986337993,2020.8791040356,2020.8837214856,2020.8814127606,NA,NA,NA,NA,0.858562533433455
25256,25257,0.000612513000000009,167383.06087744,580352.546635586,166637.554860577,580112.021985984,0.203286322,0.202673809,2020.8831440453,2020.8837565583,2020.8834503018,46,46,Kent,Kent,0.783568789980871
25256,25269,0.000625405999999995,167383.06087744,580352.546635586,167251.386620738,575508.561172391,0.203299215,0.202673809,2020.8831440453,2020.8837694513,2020.8834567483,46,46,Kent,Kent,4.83597021000356
33789,33799,0.0235015,133898.653902202,623556.899585113,167387.619552515,635324.185902485,0.20330624,0.17980474,2020.8602749763,2020.8837764763,2020.8720257263,NA,293,NA,Kent,35.496221897937
32646,32651,0.00790777000000001,185094.824133802,530250.386796099,185897.721415676,529439.954164796,0.203333645,0.195425875,2020.8758961113,2020.8838038813,2020.8798499963,360,360,Greater_London,Greater_London,1.14024234233721
24193,24194,0.0163917,191527.161718483,531219.954261952,168415.338659523,579202.456440756,0.20334047,0.18694877,2020.8674190063,2020.8838107063,2020.8756148563,362,46,Greater_London,Kent,53.1848346536281
22720,22730,0.0133315,187170.286779389,535514.24618337,188671.273644273,535502.858875356,0.203348627,0.190017127,2020.8704873633,2020.8838188633,2020.8771531133,349,349,Greater_London,Greater_London,1.50211916012504
19585,19586,0.00802569,163818.757818324,576035.537146106,166015.704281833,578179.287939138,0.20337001,0.19534432,2020.8758145563,2020.8838402463,2020.8798274013,46,46,Kent,Kent,3.0672184774144
23134,23135,0.0107279,180333.330318059,534450.008460043,185499.617177948,537583.048849718,0.203370351,0.192642451,2020.8731126873,2020.8838405873,2020.8784766373,359,349,Greater_London,Greater_London,6.04187992244403
33817,33818,0.00542153000000001,179121.881437879,549270.340613106,177608.709656336,550116.740871078,0.20337434,0.19795281,2020.8784230463,2020.8838445763,2020.8811338113,347,347,Greater_London,Greater_London,1.73404029655343
